monkey_strategy,wolf_strategy,seed,winner,turn_count,start_time,end_time
metric_position,metric_strength,0,MONKEY,11,2024-08-16T23:00:45.841529,2024-08-16T23:00:45.968132
metric_position,metric_strength,1,WOLF,6,2024-08-16T23:00:45.968132,2024-08-16T23:00:46.051378
metric_position,metric_strength,2,WOLF,14,2024-08-16T23:00:46.062481,2024-08-16T23:00:46.187828
metric_position,metric_strength,3,MONKEY,11,2024-08-16T23:00:46.187828,2024-08-16T23:00:46.282267
metric_position,metric_strength,4,WOLF,8,2024-08-16T23:00:46.282267,2024-08-16T23:00:46.438789
metric_position_strength,random,0,MONKEY,7,2024-08-16T23:00:46.438789,2024-08-16T23:00:46.580726
metric_position_strength,random,1,MONKEY,7,2024-08-16T23:00:46.580726,2024-08-16T23:00:46.706557
metric_position_strength,random,2,MONKEY,7,2024-08-16T23:00:46.706557,2024-08-16T23:00:46.852881
metric_position_strength,random,3,MONKEY,3,2024-08-16T23:00:46.852881,2024-08-16T23:00:46.911997
metric_position_strength,random,4,MONKEY,13,2024-08-16T23:00:46.911997,2024-08-16T23:00:47.084495
metric_position_strength,random_spot_win,0,MONKEY,7,2024-08-16T23:00:47.084495,2024-08-16T23:00:47.209588
metric_position_strength,random_spot_win,1,MONKEY,7,2024-08-16T23:00:47.209588,2024-08-16T23:00:47.335752
metric_position_strength,random_spot_win,2,MONKEY,7,2024-08-16T23:00:47.335752,2024-08-16T23:00:47.488104
metric_position_strength,random_spot_win,3,MONKEY,3,2024-08-16T23:00:47.488104,2024-08-16T23:00:47.541416
metric_position_strength,random_spot_win,4,MONKEY,13,2024-08-16T23:00:47.541416,2024-08-16T23:00:47.699469
metric_position_strength,metric_count,0,MONKEY,11,2024-08-16T23:00:47.699469,2024-08-16T23:00:47.793942
metric_position_strength,metric_count,1,WOLF,10,2024-08-16T23:00:47.793942,2024-08-16T23:00:47.872780
metric_position_strength,metric_count,2,WOLF,10,2024-08-16T23:00:47.872780,2024-08-16T23:00:47.983059
metric_position_strength,metric_count,3,MONKEY,11,2024-08-16T23:00:47.983059,2024-08-16T23:00:48.077663
metric_position_strength,metric_count,4,WOLF,14,2024-08-16T23:00:48.093184,2024-08-16T23:00:48.297791
metric_position_strength,metric_position,0,MONKEY,13,2024-08-16T23:00:48.297791,2024-08-16T23:00:48.376706
metric_position_strength,metric_position,1,WOLF,10,2024-08-16T23:00:48.376706,2024-08-16T23:00:48.455432
metric_position_strength,metric_position,2,WOLF,10,2024-08-16T23:00:48.455432,2024-08-16T23:00:48.596906
metric_position_strength,metric_position,3,WOLF,6,2024-08-16T23:00:48.596906,2024-08-16T23:00:48.690869
metric_position_strength,metric_position,4,WOLF,10,2024-08-16T23:00:48.690869,2024-08-16T23:00:48.769565
metric_position_strength,metric_position_strength,0,MONKEY,13,2024-08-16T23:00:48.769565,2024-08-16T23:00:48.864135
metric_position_strength,metric_position_strength,1,MONKEY,7,2024-08-16T23:00:48.864135,2024-08-16T23:00:48.974361
metric_position_strength,metric_position_strength,2,WOLF,10,2024-08-16T23:00:48.990777,2024-08-16T23:00:49.131829
metric_position_strength,metric_position_strength,3,WOLF,6,2024-08-16T23:00:49.131829,2024-08-16T23:00:49.241957
metric_position_strength,metric_position_strength,4,WOLF,10,2024-08-16T23:00:49.241957,2024-08-16T23:00:49.351446
metric_position_strength,metric_strength,0,MONKEY,11,2024-08-16T23:00:49.351446,2024-08-16T23:00:49.462132
metric_position_strength,metric_strength,1,WOLF,10,2024-08-16T23:00:49.462132,2024-08-16T23:00:49.524747
metric_position_strength,metric_strength,2,WOLF,10,2024-08-16T23:00:49.524747,2024-08-16T23:00:49.657954
metric_position_strength,metric_strength,3,MONKEY,11,2024-08-16T23:00:49.657954,2024-08-16T23:00:49.758447
metric_position_strength,metric_strength,4,WOLF,14,2024-08-16T23:00:49.758447,2024-08-16T23:00:49.918115
metric_strength,random,0,MONKEY,9,2024-08-16T23:00:49.918115,2024-08-16T23:00:50.107496
metric_strength,random,1,MONKEY,9,2024-08-16T23:00:50.107496,2024-08-16T23:00:50.259515
metric_strength,random,2,MONKEY,9,2024-08-16T23:00:50.259515,2024-08-16T23:00:50.531852
metric_strength,random,3,MONKEY,11,2024-08-16T23:00:50.531852,2024-08-16T23:00:50.673814
metric_strength,random,4,WOLF,16,2024-08-16T23:00:50.673814,2024-08-16T23:00:50.847125
metric_strength,random_spot_win,0,MONKEY,9,2024-08-16T23:00:50.847125,2024-08-16T23:00:50.974102
metric_strength,random_spot_win,1,MONKEY,9,2024-08-16T23:00:50.974102,2024-08-16T23:00:51.100185
metric_strength,random_spot_win,2,MONKEY,9,2024-08-16T23:00:51.100185,2024-08-16T23:00:51.304749
metric_strength,random_spot_win,3,MONKEY,11,2024-08-16T23:00:51.304749,2024-08-16T23:00:51.414848
metric_strength,random_spot_win,4,WOLF,14,2024-08-16T23:00:51.414848,2024-08-16T23:00:51.634465
metric_strength,metric_count,0,WOLF,8,2024-08-16T23:00:51.634465,2024-08-16T23:00:51.761761
metric_strength,metric_count,1,MONKEY,7,2024-08-16T23:00:51.761761,2024-08-16T23:00:51.871575
metric_strength,metric_count,2,WOLF,10,2024-08-16T23:00:51.871575,2024-08-16T23:00:52.028184
metric_strength,metric_count,3,WOLF,14,2024-08-16T23:00:52.028184,2024-08-16T23:00:52.162150
metric_strength,metric_count,4,WOLF,16,2024-08-16T23:00:52.162150,2024-08-16T23:00:52.310704
metric_strength,metric_position,0,WOLF,10,2024-08-16T23:00:52.310704,2024-08-16T23:00:52.436444
metric_strength,metric_position,1,MONKEY,5,2024-08-16T23:00:52.436444,2024-08-16T23:00:52.530898
metric_strength,metric_position,2,WOLF,14,2024-08-16T23:00:52.530898,2024-08-16T23:00:52.662729
metric_strength,metric_position,3,MONKEY,15,2024-08-16T23:00:52.662729,2024-08-16T23:00:52.751062
metric_strength,metric_position,4,WOLF,12,2024-08-16T23:00:52.751062,2024-08-16T23:00:52.863233
metric_strength,metric_position_strength,0,WOLF,12,2024-08-16T23:00:52.863233,2024-08-16T23:00:52.988102
metric_strength,metric_position_strength,1,MONKEY,9,2024-08-16T23:00:52.988102,2024-08-16T23:00:53.098362
metric_strength,metric_position_strength,2,WOLF,14,2024-08-16T23:00:53.098362,2024-08-16T23:00:53.264073
metric_strength,metric_position_strength,3,MONKEY,15,2024-08-16T23:00:53.264073,2024-08-16T23:00:53.334283
metric_strength,metric_position_strength,4,WOLF,12,2024-08-16T23:00:53.334283,2024-08-16T23:00:53.444386
metric_strength,metric_strength,0,WOLF,8,2024-08-16T23:00:53.444386,2024-08-16T23:00:53.570191
metric_strength,metric_strength,1,MONKEY,7,2024-08-16T23:00:53.570191,2024-08-16T23:00:53.680515
metric_strength,metric_strength,2,WOLF,10,2024-08-16T23:00:53.680515,2024-08-16T23:00:53.885233
metric_strength,metric_strength,3,WOLF,14,2024-08-16T23:00:53.885233,2024-08-16T23:00:54.011283
metric_strength,metric_strength,4,WOLF,10,2024-08-16T23:00:54.011283,2024-08-16T23:00:54.216398
